web-scraper-order,web-scraper-start-url,berita,berita-href
"1591761262-140","https://kumparan.com/search/haji%202020/","Jemaah Haji Sumsel yang Gagal Berangkat Tahun Ini Bisa Tarik Setoran BIPIH","https://kumparan.com/urbanid/jemaah-haji-sumsel-yang-gagal-berangkat-tahun-ini-bisa-tarik-setoran-bipih-1tXYTkQhzqJ"
"1591761262-124","https://kumparan.com/search/haji%202020/","Menag Akan Pastikan Tak Ada Jemaah Haji RI Undangan yang Berangkat","https://kumparan.com/kumparannews/menag-akan-pastikan-tak-ada-jemaah-haji-ri-undangan-yang-berangkat-1tX7JDmSqq5"
"1591761262-17","https://kumparan.com/search/haji%202020/","Haji 2020 Batal, Kemenag Buka Opsi Ajukan Penambahan Kuota Haji 2021 ke Saudi","https://kumparan.com/kumparannews/haji-2020-batal-kemenag-buka-opsi-ajukan-penambahan-kuota-haji-2021-ke-saudi-1tXcsCVBtqG"
"1591761262-43","https://kumparan.com/search/haji%202020/","Dampak Corona, Pemberangkatan Haji 2020 Ditiadakan","https://kumparan.com/kabarpaspasuruan/dampak-corona-pemberangkatan-haji-2020-ditiadakan-1tXAcr0RQhN"
"1591761262-147","https://kumparan.com/search/haji%202020/","Wali Kota Risma Tegaskan Tak Ada Warga Surabaya yang Depresi karena Corona","https://kumparan.com/beritaanaksurabaya/wali-kota-risma-tegaskan-tak-ada-warga-surabaya-yang-depresi-karena-corona-1tZo758fdcf"
"1591761262-113","https://kumparan.com/search/haji%202020/","Ibadah Haji Dibatalkan, MUI Medan Imbau Calon Jemaah Bersabar","https://kumparan.com/sumutnews/ibadah-haji-dibatalkan-mui-medan-imbau-calon-jemaah-bersabar-1tXZcIZOhmt"
"1591761262-5","https://kumparan.com/search/haji%202020/","Kemenag soal Haji Batal: Ada Jemaah yang Tetap Ingin Berangkat, Meninggal Syahid","https://kumparan.com/kumparannews/kemenag-soal-haji-batal-ada-jemaah-yang-tetap-ingin-berangkat-meninggal-syahid-1tXcxcV1V4o"
"1591761262-178","https://kumparan.com/search/haji%202020/","Virus ""Lain"" di Tengah Pandemi","https://kumparan.com/ivan-yusuf-juliar/virus-lain-di-tengah-pandemi-1tOwbhzMAzy"
"1591761262-61","https://kumparan.com/search/haji%202020/","Komisi VIII dan Fachrul Razi Bicarakan Biaya Haji 2020","https://kumparan.com/kumparannews/komisi-viii-dan-fachrul-razi-bicarakan-biaya-haji-2020-1sk6cspZUnw"
"1591761262-99","https://kumparan.com/search/haji%202020/","Biaya Haji 2020 Diprediksi Naik, Ma'ruf Minta BPKH Pintar Kelola Dana","https://kumparan.com/kumparannews/biaya-haji-2020-diprediksi-naik-maruf-minta-bpkh-pintar-kelola-dana-1sT4Wdgw7K2"
"1591761262-104","https://kumparan.com/search/haji%202020/","Serba-serbi Ibadah Haji Indonesia dalam Angka","https://kumparan.com/kumparannews/serba-serbi-ibadah-haji-indonesia-dalam-angka-1tXDyKTS1xA"
"1591761262-156","https://kumparan.com/search/haji%202020/","Puluhan Ribu Jemaah Umrah dari Bandara Solo Terancam Tertunda Keberangkatannya","https://kumparan.com/bengawannews/puluhan-ribu-jemaah-umrah-dari-bandara-solo-terancam-tertunda-keberangkatannya-1svHT8rnVDr"
"1591761262-146","https://kumparan.com/search/haji%202020/","Sudah Daftar dari 2011, Pasutri di Solo Harus Sabar Tunda Haji hingga 2021","https://kumparan.com/bengawannews/sudah-daftar-dari-2011-pasutri-di-solo-harus-sabar-tunda-haji-hingga-2021-1tXIYakAoc2"
"1591761262-44","https://kumparan.com/search/haji%202020/","Imbas Corona, Ibadah Haji 2020 Ditiadakan","https://kumparan.com/kumparanvideo/imbas-corona-ibadah-haji-2020-ditiadakan-1tXAfTkSHRg"
"1591761262-78","https://kumparan.com/search/haji%202020/","Menag dan Kepala BPKH Tanda Tangani MoU Pelaksanaan Ibadah Haji 2020","https://kumparan.com/kumparannews/menag-dan-kepala-bpkh-tanda-tangani-mou-pelaksanaan-ibadah-haji-2020-1sxacpo6fXS"
"1591761262-143","https://kumparan.com/search/haji%202020/","Jemaah Hanya Bisa Ambil Biaya Pelunasan Agar Tetap Haji 2021, Bukan Setoran Awal","https://kumparan.com/kumparannews/jemaah-hanya-bisa-ambil-biaya-pelunasan-agar-tetap-haji-2021-bukan-setoran-awal-1tXYuJ6DGFu"
"1591761262-151","https://kumparan.com/search/haji%202020/","CJH Jalur Khusus di Kota Pasuruan Dipastikan juga Tak Berangkat","https://kumparan.com/wartabromo/cjh-jalur-khusus-di-kota-pasuruan-dipastikan-juga-tak-berangkat-1tXV0dpEeBW"
"1591761262-144","https://kumparan.com/search/haji%202020/","39 Ribu Calon Jemaah Haji Asal Jabar Batal ke Tanah Suci Tahun Ini","https://kumparan.com/kumparannews/39-ribu-calon-jemaah-haji-asal-jabar-batal-ke-tanah-suci-tahun-ini-1tX9yWtumEZ"
"1591761262-131","https://kumparan.com/search/haji%202020/","Kemenag Riau Persilakan 5.060 CJH untuk Ambil Uang Pelunasan Biaya Haji","https://kumparan.com/selasarriau/kemenag-riau-persilakan-5-060-cjh-untuk-ambil-uang-pelunasan-biaya-haji-1tXFgWRMivV"
